"N","Тип","Пол","Владелец","Имя/отчество","Частота"
1,"Имя","Ж",0,"Августа",1975
2,"Имя","Ж",0,"Августина",240
3,"Имя","Ж",0,"Авдотья",25
4,"Имя","Ж",0,"Аврора",58
5,"Имя","Ж",0,"Агата",34
6,"Имя","Ж",0,"Агафья",1860
7,"Имя","Ж",0,"Аглая",12
8,"Имя","Ж",0,"Агнесса",106
9,"Имя","Ж",0,"Агния",637
10,"Имя","Ж",0,"Аграфена",1074
11,"Имя","Ж",0,"Агриппина",628
12,"Имя","Ж",0,"Ада",278
13,"Имя","Ж",0,"Аделаида",186
14,"Имя","Ж",0,"Аделина",111
15,"Имя","Ж",0,"Адель",91
16,"Имя","Ж",0,"Адриана",0
17,"Имя","Ж",0,"Аза",257
18,"Имя","Ж",0,"Азалия",48
19,"Имя","Ж",0,"Аида",396
20,"Имя","Ж",0,"Аксинья",437
21,"Имя","Ж",0,"Акулина",1037
22,"Имя","Ж",0,"Алевтина",11278
23,"Имя","Ж",0,"Александра",84873
24,"Имя","Ж",0,"Александрина",14
25,"Имя","Ж",0,"Алёна",34
26,"Имя","Ж",0,"Алина",4762
27,"Имя","Ж",0,"Алиса",929
28,"Имя","Ж",0,"Алла",8538
29,"Имя","Ж",0,"Альбертина",41
30,"Имя","Ж",0,"Альбина",8759
31,"Имя","Ж",0,"Амалия",185
32,"Имя","Ж",0,"Анастасия",56806
33,"Имя","Ж",0,"Ангелина",2778
34,"Имя","Ж",0,"Анжела",896
35,"Имя","Ж",0,"Анжелика",1206
36,"Имя","Ж",0,"Анисья",1191
37,"Имя","Ж",0,"Анна",138198
38,"Имя","Ж",0,"Антонида",1881
39,"Имя","Ж",0,"Антонина",63517
40,"Имя","Ж",0,"Анфиса",2031
41,"Имя","Ж",0,"Аполлинария",71
42,"Имя","Ж",0,"Апраксия",0
43,"Имя","Ж",0,"Ариадна",203
44,"Имя","Ж",0,"Арина",936
45,"Имя","Ж",0,"Беата",0
46,"Имя","Ж",0,"Беатриса",0
47,"Имя","Ж",0,"Белла",259
48,"Имя","Ж",0,"Берта",201
49,"Имя","Ж",0,"Богдана",19
50,"Имя","Ж",0,"Божена",0
51,"Имя","Ж",0,"Болеслава",0
52,"Имя","Ж",0,"Борислава",0
53,"Имя","Ж",0,"Бронислава",209
54,"Имя","Ж",0,"Валентина",197041
55,"Имя","Ж",0,"Валерия",4586
56,"Имя","Ж",0,"Ванда",105
57,"Имя","Ж",0,"Варвара",7835
58,"Имя","Ж",0,"Василина",148
59,"Имя","Ж",0,"Василиса",870
60,"Имя","Ж",0,"Васса",469
61,"Имя","Ж",0,"Велимира",0
62,"Имя","Ж",0,"Велислава",0
63,"Имя","Ж",0,"Венера",875
64,"Имя","Ж",0,"Вера",70864
65,"Имя","Ж",0,"Вереника",0
66,"Имя","Ж",0,"Вероника",2244
67,"Имя","Ж",0,"Вивиана",0
68,"Имя","Ж",0,"Викторина",99
69,"Имя","Ж",0,"Виктория",8621
70,"Имя","Ж",0,"Вилена",33
71,"Имя","Ж",0,"Вильгельмина",24
72,"Имя","Ж",0,"Виола",12
73,"Имя","Ж",0,"Виолетта",565
74,"Имя","Ж",0,"Виргиния",14
75,"Имя","Ж",0,"Виринея",12
76,"Имя","Ж",0,"Вита",66
77,"Имя","Ж",0,"Виталина",86
78,"Имя","Ж",0,"Виталия",81
79,"Имя","Ж",0,"Влада",220
80,"Имя","Ж",0,"Владилена",42
81,"Имя","Ж",0,"Владимира",0
82,"Имя","Ж",0,"Владислава",156
83,"Имя","Ж",0,"Владлена",94
84,"Имя","Ж",0,"Власта",0
85,"Имя","Ж",0,"Всеслава",0
86,"Имя","Ж",0,"Галина",123298
87,"Имя","Ж",0,"Генриетта",179
88,"Имя","Ж",0,"Георгина",11
89,"Имя","Ж",0,"Гертруда",168
